Unnamed: 0,ID,Country of Origin,Altitude,Grading Date,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Expiration,Aroma_Category,Flavor_Category,Aftertaste_Category,Acidity_Category,Body_Category,Overall_Category
55,55,Taiwan,1400,"November 15th, 2022",SL34,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10.0,10,10,7.83,0,84.75,10.4,0,0,green,0,"November 15th, 2023",Good,Good,Best,Good,Good,Good
56,56,Brazil,1100,"February 13th, 2023",Yellow Bourbon,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,10.0,10,10,7.83,0,84.75,11.2,0,1,green,5,"February 13th, 2024",Good,Good,Best,Best,Good,Good
57,57,Panama,1200,"April 26th, 2023",Catuai,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10.0,10,10,7.83,0,84.75,10.3,0,1,bluish-green,5,"April 25th, 2024",Good,Good,Best,Best,Best,Good
58,58,Taiwan,1200,"December 30th, 2022",Yellow Bourbon,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,10.0,10,10,7.75,0,84.75,10.0,0,0,blue-green,0,"December 30th, 2023",Best,Best,Good,Best,Good,Good
59,59,Guatemala,1600,"April 28th, 2023",Caturra,Washed / Wet,7.67,8.0,7.67,7.83,7.92,7.67,10.0,10,10,7.92,0,84.67,10.6,0,0,green,1,"April 27th, 2024",Good,Best,Good,Good,Best,Best
60,60,Guatemala,4895,"May 19th, 2022",Bourbon,Natural / Dry,7.83,8.0,7.67,7.83,7.75,7.75,10.0,10,10,7.83,0,84.67,10.9,0,3,yellow-green,2,"May 19th, 2023",Good,Best,Good,Good,Good,Good
61,61,Costa Rica,1850,"April 19th, 2023",Caturra,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10.0,10,10,8.58,0,84.67,10.0,0,1,green,2,"April 18th, 2024",Ok,Good,Ok,Good,Best,Best
62,62,Taiwan,200-300,"January 6th, 2023",Typica,Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,7.75,10.0,10,10,7.92,0,84.58,9.6,0,0,greenish,0,"January 6th, 2024",Good,Good,Best,Good,Good,Best
63,63,Taiwan,700,"June 8th, 2022",Gesha,Pulped natural / honey,8.17,7.83,7.67,7.83,7.67,7.67,10.0,10,10,7.75,0,84.58,11.5,0,0,green,0,"June 8th, 2023",Best,Good,Good,Good,Good,Good
64,64,Nicaragua,1350,"June 9th, 2022",Catrenic,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,10.0,10,10,8.0,0,84.58,9.9,1,0,green,2,"June 9th, 2023",Best,Good,Good,Good,Best,Best
65,65,Taiwan,1250,"November 15th, 2022",Gesha,Washed / Wet,8.08,7.83,7.67,7.67,7.67,7.75,10.0,10,10,7.92,0,84.58,11.2,0,0,green,2,"November 15th, 2023",Best,Good,Good,Good,Good,Best
66,66,Taiwan,1450,"November 15th, 2022",SL34,Natural / Dry,7.83,8.0,7.67,7.75,7.67,7.75,10.0,10,10,7.92,0,84.58,10.3,0,0,green,0,"November 15th, 2023",Good,Best,Good,Good,Good,Best
67,67,Vietnam,650,"November 15th, 2022",Catimor,Natural / Dry,8.0,7.83,7.75,7.67,7.58,7.83,10.0,10,10,7.92,0,84.58,11.6,0,0,brownish,0,"November 15th, 2023",Best,Good,Best,Good,Ok,Best
68,68,Costa Rica,1900,"October 4th, 2022",Gesha,Washed / Wet,7.75,7.83,7.67,7.83,7.75,7.75,10.0,10,10,7.92,0,84.5,11.7,0,1,green,0,"October 4th, 2023",Good,Good,Good,Good,Good,Best
69,69,Taiwan,520,"January 6th, 2023",unknown,Pulped natural / honey,7.75,7.92,7.83,7.75,7.75,7.75,10.0,10,10,7.75,0,84.5,11.3,0,0,bluish-green,0,"January 6th, 2024",Good,Good,Best,Good,Good,Good
70,70,Honduras,1368,"April 25th, 2023",Catuai,Washed / Wet,7.83,7.92,7.75,7.75,7.75,7.75,10.0,10,10,7.75,0,84.5,9.8,0,0,green,3,"April 24th, 2024",Good,Good,Best,Good,Good,Good
71,71,Ethiopia,1943,"August 23rd, 2022",Ethiopian Heirlooms,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10,10,7.83,0,84.5,10.9,0,0,green,9,"August 23rd, 2023",Best,Good,Best,Best,Ok,Good
72,72,Taiwan,400,"December 12th, 2022",Typica,Natural / Dry,8.08,7.92,7.75,7.83,7.5,7.58,10.0,10,10,7.83,0,84.5,10.2,0,0,green,0,"December 12th, 2023",Best,Good,Best,Good,Ok,Good
73,73,Taiwan,850,"November 15th, 2022",Gesha,Washed / Wet,7.83,8.0,7.5,7.75,7.75,7.75,10.0,10,10,7.83,0,84.42,10.1,0,0,bluish-green,1,"November 15th, 2023",Good,Best,Ok,Good,Good,Good
74,74,Guatemala,1300-1400,"April 26th, 2023",Bourbon,Washed / Wet,7.67,7.83,7.75,7.75,7.83,7.75,10.0,10,10,7.75,0,84.33,9.2,0,1,green,5,"April 25th, 2024",Good,Good,Best,Good,Best,Good
75,75,United States (Hawaii),1300,"November 9th, 2022",Catuai,Washed / Wet,7.92,7.83,7.75,7.92,7.5,7.67,10.0,10,10,7.75,0,84.33,10.1,3,0,yellow-green,7,"November 9th, 2023",Best,Good,Best,Best,Ok,Good
76,76,Ethiopia,2361,"September 19th, 2022",Ethiopian Heirlooms,Natural / Dry,7.83,7.75,7.58,7.92,8.0,7.5,10.0,10,10,7.75,0,84.33,11.0,0,5,yellow green,4,"September 19th, 2023",Good,Good,Good,Best,Best,Good
77,77,El Salvador,1500,"November 15th, 2022",Pacamara,Pulped natural / honey,7.83,7.83,7.83,7.83,7.67,7.67,10.0,10,10,7.67,0,84.33,10.3,0,0,brownish,4,"November 15th, 2023",Good,Good,Best,Good,Good,Good
78,78,Colombia,2100,"May 11th, 2022",Castillo and Colombia blend,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,10.0,10,10,7.83,0,84.33,11.6,0,0,green,1,"May 11th, 2023",Good,Good,Best,Good,Best,Good
79,79,Indonesia,1250-1350,"September 21st, 2022","Jember,TIM-TIM,Ateng",Wet Hulling,7.67,7.67,7.83,7.83,7.67,7.75,10.0,10,10,7.83,0,84.25,11.5,0,1,blue-green,1,"September 21st, 2023",Good,Ok,Best,Good,Good,Good
80,80,Guatemala,1600,"April 17th, 2023",Typica,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.75,10.0,10,10,7.75,0,84.25,10.0,0,0,green,1,"April 16th, 2024",Ok,Good,Good,Good,Best,Good
81,81,Madagascar,1500,"December 12th, 2022",Bourbon,Washed / Wet,7.92,7.92,7.58,7.75,7.58,7.67,10.0,10,10,7.83,0,84.25,12.1,0,0,blue-green,0,"December 12th, 2023",Best,Good,Good,Good,Ok,Good
82,82,Honduras,1368,"April 25th, 2023",Catuai,Washed / Wet,7.75,7.75,7.58,7.83,7.75,7.75,10.0,10,10,7.75,0,84.17,10.2,0,0,green,2,"April 24th, 2024",Good,Good,Good,Good,Good,Good
83,83,Guatemala,1600,"May 19th, 2022",Caturra,Washed / Wet,7.58,7.92,7.58,7.83,7.75,7.67,10.0,10,10,7.75,0,84.08,11.0,0,3,green,2,"May 19th, 2023",Ok,Good,Good,Good,Good,Good
84,84,Taiwan,150,"January 6th, 2023",unknown,Pulped natural / honey,7.83,7.92,7.83,7.58,7.58,7.67,10.0,10,10,7.67,0,84.08,10.8,0,0,greenish,2,"January 6th, 2024",Good,Good,Best,Ok,Ok,Good
85,85,Taiwan,800,"November 15th, 2022",Gesha,Natural / Dry,7.92,7.75,7.67,7.75,7.75,8.0,9.33,10,10,7.92,0,84.08,10.6,0,0,yello-green,0,"November 15th, 2023",Best,Good,Good,Good,Good,Best
86,86,Guatemala,1500-1600,"March 22nd, 2023",Caturra,Washed / Wet,7.67,7.83,7.67,7.83,7.75,7.67,10.0,10,10,7.67,0,84.08,11.0,0,1,green,2,"March 21st, 2024",Good,Good,Good,Good,Good,Good
87,87,Guatemala,1500-1600,"March 22nd, 2023",Caturra,Washed / Wet,7.67,7.92,7.67,7.75,7.67,7.58,10.0,10,10,7.75,0,84.0,11.0,0,2,green,2,"March 21st, 2024",Good,Good,Good,Good,Good,Good
88,88,Honduras,1800,"November 15th, 2022",Typica,Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,7.67,10.0,10,10,7.67,0,84.0,9.4,0,0,green,0,"November 15th, 2023",Good,Good,Best,Good,Good,Good
89,89,"Tanzania, United Republic Of",1600-1750,"January 3rd, 2023",Bourbon,Washed / Wet,7.58,7.67,7.75,7.75,7.75,7.75,10.0,10,10,7.75,0,84.0,9.8,0,0,greenish,3,"January 3rd, 2024",Ok,Ok,Best,Good,Good,Good
90,90,Ethiopia,1800,"November 18th, 2022",Ethiopian Heirlooms,Washed / Wet,8.0,7.75,7.5,7.67,7.67,7.67,10.0,10,10,7.75,0,84.0,11.3,1,1,green,1,"November 18th, 2023",Best,Good,Ok,Good,Good,Good
91,91,"Tanzania, United Republic Of",1400-1700,"November 21st, 2022",Bourbon,Washed / Wet,7.75,7.58,7.58,7.92,7.67,7.75,10.0,10,10,7.75,0,84.0,11.6,0,0,greenish,2,"November 21st, 2023",Good,Ok,Good,Best,Good,Good
92,92,Colombia,1400-1700,"July 27th, 2022",Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.67,7.67,10.0,10,10,7.67,0,84.0,13.3,0,2,green,3,"July 27th, 2023",Good,Good,Good,Best,Good,Good
93,93,Costa Rica,1850,"April 19th, 2023",Caturra,Washed / Wet,7.67,7.92,7.58,7.75,7.67,7.58,10.0,10,10,7.75,0,83.92,9.5,0,0,green,2,"April 18th, 2024",Good,Good,Good,Good,Good,Good
94,94,Guatemala,1900,"November 15th, 2022",Gesha,Natural / Dry,7.83,7.83,7.58,7.67,7.67,7.58,10.0,10,10,7.75,0,83.92,11.9,0,0,greenish,0,"November 15th, 2023",Good,Good,Good,Good,Good,Good
95,95,Guatemala,1600,"April 17th, 2023",Bourbon,Washed / Wet,7.58,7.83,7.58,7.75,7.67,7.75,10.0,10,10,7.75,0,83.92,10.0,0,1,green,2,"April 16th, 2024",Ok,Good,Good,Good,Good,Good
96,96,Thailand,1300-1400,"September 21st, 2022",Catimor,Natural / Dry,7.75,7.67,7.58,7.75,7.75,7.67,10.0,10,10,7.75,0,83.92,11.6,0,0,yellowish,3,"September 21st, 2023",Good,Ok,Good,Good,Good,Good
97,97,Colombia,1411,"April 17th, 2023",,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.67,10.0,10,10,7.67,0,83.83,11.9,0,1,green,1,"April 16th, 2024",Good,Good,Good,Good,Good,Good
98,98,Guatemala,1400,"May 13th, 2022","BOURBON, CATURRA Y CATIMOR",Natural / Dry,7.58,7.83,7.67,7.67,7.67,7.67,10.0,10,10,7.75,0,83.83,10.8,0,0,green,4,"May 13th, 2023",Ok,Good,Good,Good,Good,Good
99,99,Guatemala,4895 A 5650,"May 19th, 2022",Bourbon,Washed / Wet,7.58,7.92,7.5,7.67,7.75,7.67,10.0,10,10,7.75,0,83.83,10.9,0,1,greenish,4,"May 19th, 2023",Ok,Good,Ok,Good,Good,Good
100,100,Ethiopia,2000,"September 9th, 2022",Ethiopian Heirlooms,Washed / Wet,7.83,7.67,7.5,7.92,7.5,7.67,10.0,10,10,7.75,0,83.83,12.0,0,0,green,12,"September 9th, 2023",Good,Ok,Ok,Best,Ok,Good
101,101,Colombia,1700,"February 22nd, 2023",Caturra,Washed / Wet,7.92,7.75,7.42,7.58,7.92,7.67,10.0,10,10,7.58,0,83.83,12.1,2,5,green,5,"February 22nd, 2024",Best,Good,Ok,Ok,Best,Good
102,102,United States (Hawaii),400-600,"November 15th, 2022",Typica,Washed / Wet,7.67,7.92,7.58,7.58,7.58,7.75,10.0,10,10,7.75,0,83.83,11.8,0,3,green,3,"November 15th, 2023",Good,Good,Good,Ok,Ok,Good
103,103,Colombia,1800,"November 15th, 2022",Bourbon Sidra,Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,10.0,10,10,7.58,0,83.75,10.6,0,0,greenish,1,"November 15th, 2023",Good,Good,Good,Ok,Good,Good
104,104,Mexico,1200,"April 5th, 2023",Sarchimor,Washed / Wet,7.67,7.67,7.58,7.67,7.83,7.58,10.0,10,10,7.75,0,83.75,11.7,4,0,green,12,"April 4th, 2024",Good,Ok,Good,Good,Best,Good
105,105,Colombia,,"September 26th, 2022",,,7.83,7.75,7.5,7.58,7.67,7.67,10.0,10,10,7.67,0,83.67,12.4,1,0,greenish,9,"September 26th, 2023",Good,Good,Ok,Ok,Good,Good
106,106,Taiwan,1250,"October 24th, 2022",SL34,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10.0,10,10,7.67,0,83.67,10.0,0,0,bluish-green,0,"October 24th, 2023",Good,Ok,Best,Good,Ok,Good
107,107,Myanmar,1400,"November 15th, 2022","Catimor,Catuai,Caturra,Bourbon",Natural / Dry,7.83,7.83,7.67,7.58,7.58,7.58,10.0,10,10,7.58,0,83.67,10.2,0,1,pale yellow,1,"November 15th, 2023",Good,Good,Good,Ok,Ok,Good
108,108,Taiwan,200-400,"January 6th, 2023",unknown,Pulped natural / honey,7.58,7.75,7.67,7.83,7.5,7.67,10.0,10,10,7.67,0,83.67,9.2,0,0,greenish,0,"January 6th, 2024",Ok,Good,Good,Good,Ok,Good
109,109,Honduras,1470,"November 15th, 2022",Parainema,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10,10,7.67,0,83.67,11.1,0,2,pale yellow,1,"November 15th, 2023",Good,Ok,Good,Good,Good,Good
110,110,Taiwan,250-400,"January 6th, 2023",unknown,Natural / Dry,7.58,7.67,7.5,7.75,7.75,7.67,10.0,10,10,7.67,0,83.58,8.4,0,0,green,0,"January 6th, 2024",Ok,Ok,Ok,Good,Good,Good
